"Step","GOOD-rmappo-sd-beta-add-id-20240520-150835-seed1 - average_episode_rewards","GOOD-rmappo-sd-beta-add-id-20240520-150835-seed1 - average_episode_rewards__MIN","GOOD-rmappo-sd-beta-add-id-20240520-150835-seed1 - average_episode_rewards__MAX"
"200","-3.587499260902405","-3.587499260902405","-3.587499260902405"
"400","2.9625004157423973","2.9625004157423973","2.9625004157423973"
"600","2.9625006020069122","2.9625006020069122","2.9625006020069122"
"800","3.6000005900859833","3.6000005900859833","3.6000005900859833"
"1000","3.924999386072159","3.924999386072159","3.924999386072159"
"1200","4.800001531839371","4.800001531839371","4.800001531839371"
"1400","7.612500339746475","7.612500339746475","7.612500339746475"
"1600","4.999998211860657","4.999998211860657","4.999998211860657"
"1800","8.049999177455902","8.049999177455902","8.049999177455902"
"2000","7.987499982118607","7.987499982118607","7.987499982118607"
"2200","8.225000649690628","8.225000649690628","8.225000649690628"
"2400","7.962500303983688","7.962500303983688","7.962500303983688"
"2600","10.112500190734863","10.112500190734863","10.112500190734863"
"2800","8.187498897314072","8.187498897314072","8.187498897314072"
"3000","8.187499642372131","8.187499642372131","8.187499642372131"
"3200","6.25000074505806","6.25000074505806","6.25000074505806"
"3400","6.775001436471939","6.775001436471939","6.775001436471939"
"3600","9.650001674890518","9.650001674890518","9.650001674890518"
"3800","6.812498718500137","6.812498718500137","6.812498718500137"
"4000","10.737500339746475","10.737500339746475","10.737500339746475"
"4200","6.237500160932541","6.237500160932541","6.237500160932541"
"4400","11.762497574090958","11.762497574090958","11.762497574090958"
"4600","10.237500816583633","10.237500816583633","10.237500816583633"
"4800","8.98750051856041","8.98750051856041","8.98750051856041"
"5000","8.712497353553772","8.712497353553772","8.712497353553772"
"5200","8.937501162290573","8.937501162290573","8.937501162290573"
"5400","8.324998617172241","8.324998617172241","8.324998617172241"
"5600","21.60000056028366","21.60000056028366","21.60000056028366"
"5800","9.51250046491623","9.51250046491623","9.51250046491623"
"6000","6.7749984562397","6.7749984562397","6.7749984562397"
"6200","8.799999952316284","8.799999952316284","8.799999952316284"
"6400","6.63750097155571","6.63750097155571","6.63750097155571"
"6600","7.100000977516174","7.100000977516174","7.100000977516174"
"6800","11.212499439716339","11.212499439716339","11.212499439716339"
"7000","8.825001120567322","8.825001120567322","8.825001120567322"
"7200","8.699999749660492","8.699999749660492","8.699999749660492"
"7400","24.774999916553497","24.774999916553497","24.774999916553497"
"7600","9.662498533725739","9.662498533725739","9.662498533725739"
"7800","21.524997055530548","21.524997055530548","21.524997055530548"
"8000","9.175000339746475","9.175000339746475","9.175000339746475"
"8200","8.187497407197952","8.187497407197952","8.187497407197952"
"8400","10.875000059604645","10.875000059604645","10.875000059604645"
"8600","7.325000315904617","7.325000315904617","7.325000315904617"
"8800","11.837497353553772","11.837497353553772","11.837497353553772"
"9000","11.112498492002487","11.112498492002487","11.112498492002487"
"9200","10.237498581409454","10.237498581409454","10.237498581409454"
"9400","7.7125005424022675","7.7125005424022675","7.7125005424022675"
"9600","8.249998092651367","8.249998092651367","8.249998092651367"
"9800","8.73749703168869","8.73749703168869","8.73749703168869"
"10000","8.662500232458115","8.662500232458115","8.662500232458115"
"10200","20.112499594688416","20.112499594688416","20.112499594688416"
"10400","8.174997568130493","8.174997568130493","8.174997568130493"
"10600","10.175000131130219","10.175000131130219","10.175000131130219"
"10800","7.650000602006912","7.650000602006912","7.650000602006912"
"11000","8.687498420476913","8.687498420476913","8.687498420476913"
"11200","8.86249914765358","8.86249914765358","8.86249914765358"
"11400","7.674999535083771","7.674999535083771","7.674999535083771"
"11600","9.749999642372131","9.749999642372131","9.749999642372131"
"11800","9.062500298023224","9.062500298023224","9.062500298023224"
"12000","8.100000023841858","8.100000023841858","8.100000023841858"
"12200","7.512500137090683","7.512500137090683","7.512500137090683"
"12400","7.800000160932541","7.800000160932541","7.800000160932541"
"12600","8.449999988079071","8.449999988079071","8.449999988079071"
"12800","9.050000458955765","9.050000458955765","9.050000458955765"
"13000","7.662499696016312","7.662499696016312","7.662499696016312"
"13200","9.3874990940094","9.3874990940094","9.3874990940094"
"13400","8.212500810623169","8.212500810623169","8.212500810623169"
"13600","16.04999750852585","16.04999750852585","16.04999750852585"
"13800","9.924998134374619","9.924998134374619","9.924998134374619"
"14000","9.462499618530273","9.462499618530273","9.462499618530273"
"14200","9.374997019767761","9.374997019767761","9.374997019767761"
"14400","10.000000149011612","10.000000149011612","10.000000149011612"
"14600","9.374997764825821","9.374997764825821","9.374997764825821"
"14800","23.412498831748962","23.412498831748962","23.412498831748962"
"15000","7.062500715255737","7.062500715255737","7.062500715255737"
"15200","10.337498784065247","10.337498784065247","10.337498784065247"
"15400","9.162500500679016","9.162500500679016","9.162500500679016"
"15600","8.900001645088196","8.900001645088196","8.900001645088196"
"15800","11.125001311302185","11.125001311302185","11.125001311302185"
"16000","11.124999821186066","11.124999821186066","11.124999821186066"
"16200","9.287498146295547","9.287498146295547","9.287498146295547"
