,steps,reward1,reward2,reward3
159,32000.0,6.75,11.5,11.5
160,32200.0,3.75,10.25,8.75
161,32400.0,3.5000000000000004,11.5,11.5
162,32600.0,5.25,12.0,10.0
163,32800.0,3.75,14.75,11.75
164,33000.0,5.0,11.75,11.5
165,33200.0,2.0,12.0,11.75
166,33400.0,2.25,11.75,11.5
167,33600.0,5.25,11.5,10.0
168,33800.0,5.25,11.75,8.5
169,34000.0,2.25,12.0,10.25
170,34200.0,1.7500000000000002,10.0,11.5
171,34400.0,3.5000000000000004,12.0,10.25
172,34600.0,5.25,11.5,11.5
173,34800.0,5.0,11.5,11.5
174,35000.0,2.25,11.75,10.0
175,35200.0,3.5000000000000004,10.25,10.25
176,35400.0,5.0,12.0,10.25
177,35600.0,2.25,11.75,10.25
178,35800.0,7.000000000000001,11.5,11.5
179,36000.0,3.75,11.75,11.75
180,36200.0,1.7500000000000002,13.25,8.75
181,36400.0,5.0,11.5,11.5
182,36600.0,5.0,11.75,11.5
183,36800.0,5.0,11.5,11.5
184,37000.0,3.5000000000000004,13.25,10.25
185,37200.0,0.75,13.25,10.0
186,37400.0,2.0,11.75,10.0
187,37600.0,5.0,10.0,11.5
188,37800.0,3.5000000000000004,13.25,10.25
189,38000.0,5.0,11.5,10.0
190,38200.0,3.75,12.0,11.5
191,38400.0,5.0,10.0,10.25
192,38600.0,0.5,13.25,10.0
193,38800.0,5.5,10.25,11.5
194,39000.0,5.0,10.0,10.0
195,39200.0,5.0,11.5,11.75
196,39400.0,5.0,11.5,10.0
197,39600.0,1.7500000000000002,10.0,8.75
198,39800.0,3.75,13.5,10.0
199,40000.0,3.75,12.0,11.5
200,40200.0,5.25,12.0,8.5
201,40400.0,3.5000000000000004,10.25,11.5
202,40600.0,0.5,11.75,11.5
203,40800.0,2.25,11.75,11.5
204,41000.0,2.0,10.25,10.0
205,41200.0,5.0,13.25,11.5
206,41400.0,8.25,11.75,11.5
207,41600.0,6.75,10.25,11.75
208,41800.0,2.25,11.75,10.25
209,42000.0,3.5000000000000004,11.5,8.75
210,42200.0,5.5,12.0,11.75
211,42400.0,5.25,12.0,10.25
212,42600.0,5.0,12.0,11.5
213,42800.0,2.0,13.25,10.25
214,43000.0,2.0,11.75,10.0
215,43200.0,8.75,10.25,11.5
216,43400.0,2.25,11.5,10.25
217,43600.0,5.25,11.5,10.25
218,43800.0,3.75,11.75,10.25
219,44000.0,2.0,11.75,10.25
220,44200.0,5.25,10.25,11.5
221,44400.0,3.75,13.25,11.5
222,44600.0,5.0,13.25,11.75
223,44800.0,3.5000000000000004,13.5,8.75
224,45000.0,3.5000000000000004,11.75,11.5
225,45200.0,5.0,11.75,10.25
226,45400.0,5.5,11.75,11.75
227,45600.0,3.5000000000000004,11.5,10.25
228,45800.0,3.75,11.75,10.25
229,46000.0,3.5000000000000004,13.25,10.0
230,46200.0,5.0,11.5,10.25
231,46400.0,5.25,11.5,8.75
232,46600.0,3.75,11.5,10.0
233,46800.0,5.0,11.75,10.25
234,47000.0,3.5000000000000004,12.0,10.0
235,47200.0,5.25,12.0,11.5
236,47400.0,3.5000000000000004,13.25,11.5
237,47600.0,2.25,11.75,11.75
238,47800.0,3.75,13.25,11.5
239,48000.0,1.7500000000000002,10.25,10.25
240,48200.0,7.000000000000001,11.75,11.5
241,48400.0,5.5,11.75,11.5
242,48600.0,3.75,11.75,11.5
243,48800.0,2.25,13.5,11.75
244,49000.0,3.5000000000000004,11.75,11.75
245,49200.0,5.25,11.5,11.5
246,49400.0,6.75,11.75,8.75
247,49600.0,5.0,11.75,11.75
248,49800.0,5.0,13.25,8.5
249,50000.0,5.25,11.75,10.25
250,50200.0,3.5000000000000004,11.75,8.75
251,50400.0,3.5000000000000004,13.25,10.25
252,50600.0,3.75,10.25,10.0
253,50800.0,5.25,12.0,11.5
